"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"WIĄZOWSKI Waldemar Bogdan",1,20911,3498,7.71,1.55,1,3,1,2,2,16,16,-2,-6.16,268,0,1,1,180,1,2
"SUCHANECKI Mariusz Grzegorz",2,2872,2834,1.92,0.84,9,10,2,2,36,24,24,-1,-1.08,228,0,0,1,180,0,2
"ŁUCARZ Roman",1,1640,3930,0.58,1.52,17,18,2,2,15,18,18,-1,0.94,359,0,0,1,180,1,2
"PALKI Jan Piotr",1,1274,908,0.43,0.33,17,18,2,2,14,18,20,-1,-0.1,350,0,0,1,180,1,2
"SIEDLACZEK Henryk Piotr",2,35124,20019,26.02,7.58,1,4,1,1,30,18,18,-3,-18.44,189,0,1,1,180,0,2
"MACIEJEWSKI Krzysztof",1,10837,6442,3.71,2.47,3,5,1,2,10,18,17,-2,-1.24,316,0,1,1,180,1,2
"GĘBICKA-MATUSZ Ewa",2,907,684,0.39,0.17,15,18,2,2,31,23,24,-3,-0.22,191,1,0,1,180,0,2
"KAMIŃSKI Henryk",1,2504,3477,0.82,1.26,15,20,2,2,16,20,20,-5,0.44,368,0,0,1,180,1,2
"GRABEK Anna Małgorzata",1,4713,3014,1.61,1.15,7,9,2,2,10,18,17,-2,-0.46,318,1,0,1,180,1,2
"JANIK Grzegorz Piotr",1,7570,5236,6.89,1.98,2,3,1,2,30,18,18,-1,-4.91,57,0,1,1,180,1,2
"UJAZDOWSKI Kazimierz Michał",1,73416,26221,13.2,5.28,1,2,1,1,3,28,28,-1,-7.92,270,0,1,1,180,1,2
"GROCHALA Wojciech",1,1701,673,0.43,0.2,7,16,2,2,8,24,24,-9,-0.23,305,0,0,1,180,1,2
"VAN DER COGHEN Piotr Artur",2,28657,12171,19.66,4.34,4,7,1,1,32,18,18,-3,-15.32,203,0,1,1,180,0,2
"JAGIEŁŁO Jarosław",1,24428,6596,5.78,1.82,3,13,1,2,9,20,20,-10,-3.96,310,0,1,1,180,1,2
"BODZIOCH Adam Andrzej",2,2022,1101,1.49,0.25,6,13,2,2,33,32,32,-7,-1.24,204,0,0,1,180,0,2
"GIRZYŃSKI Zbigniew",1,22154,24907,5.64,7.08,2,3,1,1,5,26,26,-1,1.44,280,0,1,1,180,1,2
"GRENDA Jarosław",2,2827,1818,0.77,0.53,6,7,2,2,18,22,23,-1,-0.24,515,0,0,1,180,0,2
"KUBAS-HUL Teresa Krystyna",2,3402,3650,2.48,0.8,4,30,2,2,23,30,30,-26,-1.68,136,1,0,1,180,0,2
"NAGUSZEWSKI Tadeusz",2,15577,3850,15.58,1.97,2,7,1,2,34,16,16,-5,-13.61,213,0,1,1,180,0,2
"SADURSKA Małgorzata Barbara",1,21420,15946,4.27,3.47,3,6,1,1,6,30,30,-3,-0.799999999999999,287,1,1,1,180,1,2
"RAMENDA Sebastian",2,2896,1613,1.08,0.67,9,14,2,2,12,15,16,-5,-0.41,486,0,0,1,180,0,2
"STULIGROSZ Michał",2,24513,10692,9.34,2.67,4,6,2,2,39,20,20,-2,-6.67,247,0,0,1,180,0,2
"HAŁAS Teresa",1,6045,4381,1.72,1.38,6,7,2,2,7,24,24,-1,-0.34,299,1,0,1,180,1,2
"NIESIOŁOWSKI Stefan",2,69385,36993,17.6,11.12,1,2,1,1,8,23,24,-1,-6.48,454,0,1,1,180,0,2
"GOŁOJUCH Kazimierz Edward",1,12781,12311,5.37,2.69,7,9,1,1,23,30,30,-2,-2.68,14,0,1,1,180,1,2
"ŻACZEK Jarosław",1,15040,11278,3,2.45,4,8,1,1,6,30,30,-4,-0.55,288,0,1,1,180,1,2
"ZARYCHTA-SURÓWKA Małgorzata",1,1673,1703,2.05,0.61,16,18,2,2,32,18,18,-2,-1.44,77,1,0,1,180,1,2
"GIŻYŃSKI Szymon Stanisław",1,28531,9146,36.12,4.07,1,2,1,1,28,14,14,-1,-32.05,48,0,1,1,180,1,2
"ZIĘTEK Jerzy",2,8870,8960,5.13,2.22,3,6,1,1,31,23,24,-3,-2.91,197,0,1,1,180,0,2
"ZARZYCKI Wojciech Szczęsny",1,6672,4158,1.74,1.22,4,6,2,2,11,24,24,-2,-0.52,323,0,0,1,180,1,2
"JANISZEWSKA Anna Maria",1,2061,2106,2.6,0.94,6,13,2,2,28,14,14,-7,-1.66,49,1,0,1,180,1,2
"GILARSKI Mirosław Jan",1,1065,1870,0.19,0.37,6,12,2,2,13,26,28,-6,0.18,335,0,0,1,180,1,2
"WARPAS Adam",1,2385,1579,0.65,0.46,11,19,2,2,18,24,24,-8,-0.19,381,0,0,1,180,1,2
"KLIM Józef Piotr",2,9938,4992,6.65,1.16,5,6,1,2,24,30,28,-1,-5.49,144,0,1,1,180,0,2
"KOZDROŃ Jerzy",2,10671,9913,4.13,2.39,4,5,1,1,25,24,24,-1,-1.74,152,0,1,1,180,0,2
"GRZĄDZIEL Andrzej",1,1782,838,0.94,0.19,11,19,2,2,33,32,32,-8,-0.75,80,0,0,1,180,1,2
